Animal,Symptoms,Disease
Cow,"Reduced movement, Lameness, Chest pain, Grunting sound, Swollen joints, High fever",Black Quarter
Sheep,"Stillbirth, Infertility, Abortion",Brucellosis
Sheep,"Sudden death, Bloat, Bloody diarrhoea, Abdominal pain",Enterotoxaemia
Goat,"Depression, Diarrhoea, Nasal discharge, Bloody diarrhoea, Loss of appetite, High fever, Dehydration, Sudden death",Rinderpest
Buffalo,"Recumbency, Lameness, Cracked hooves, Fever, Hoof lesions, Swollen joints, Loss of appetite",Foot Rot
Cow,"Lameness, Jaw swelling, Facial swelling",Blue Tongue
Buffalo,"Diarrhoea, Dullness, Dehydration, Weight loss, Reduced milk yield",Johne’s Disease
Buffalo,"Sneezing, Difficulty breathing, Nasal discharge, Cough, Eye discharge",Bovine Rhinotracheitis
Goat,"Recumbency, Lethargy, Reduced movement, Incoordination, Loss of appetite",Milk Fever
Goat,"Nasal bleeding, Depression, Weakness, High fever, Foamy saliva, Sudden death",Anthrax
Goat,"Cracked hooves, Hoof lesions, Loss of appetite, Lameness, Fever, Recumbency",Foot Rot
Buffalo,"Jaw swelling, High fever, Facial swelling, Depression, Nasal discharge, Lameness",Blue Tongue
Buffalo,"Anaemia, Depression, Weight loss, Pale mucous membranes, Loss of appetite, Reduced milk yield, Dehydration",Fascioliasis
Goat,"Dullness, Dehydration, Weakness, Anaemia, Diarrhoea",Amphistomiasis
Buffalo,"Depression, Anaemia, Lethargy, Yellow urine, Pale mucous membranes",Anaplasmosis
Goat,"Loss of appetite, Depression, Diarrhoea, Reduced milk yield, Dullness, Dehydration, Weight loss",Johne’s Disease
Sheep,"High fever, Nasal discharge, Bloody diarrhoea, Dehydration, Sudden death",Rinderpest
Buffalo,"Depression, High fever, Bloody diarrhoea, Sudden death",Salmonellosis
Sheep,"Depression, Scratching, Loss of appetite, Skin lesions, Itching, Dullness, Hair loss",Ringworm
Sheep,"Lameness, Eye discharge, Reduced milk yield, Nasal discharge, Swollen lymph nodes, Skin lesions, Skin nodules, High fever",Lumpy Skin Disease (Lumpy Virus)
Cow,"Eye discharge, Cough, Sneezing, Depression",Bovine Rhinotracheitis
Goat,"Rapid breathing, Facial swelling, Jaw swelling, Lameness",Blue Tongue
Buffalo,"Anaemia, Weight loss, High fever, Swollen lymph nodes, Weakness, Pale mucous membranes, Lethargy",Theileriosis
Sheep,"Loss of appetite, Weakness, Abnormal milk, Painful udder, Fever, Depression, Udder swelling",Mastitis
Buffalo,"Depression, Lethargy, Pale mucous membranes, Yellow urine, Anaemia",Anaplasmosis
Buffalo,"Rapid breathing, Sudden death, Swollen lymph nodes",East Coast Fever
Goat,"Swollen joints, Cracked hooves, Hoof lesions, Lameness",Foot Rot
Goat,"Hoof lesions, Recumbency, Cracked hooves, Lameness",Foot Rot
Sheep,"Weakness, Nasal bleeding, Rapid breathing, Sudden death, Depression, High fever, Foamy saliva",Anthrax
Sheep,"Depression, Loss of appetite, High fever, Dehydration, Cough, Diarrhoea, Difficulty breathing",Peste des Petits Ruminants
Cow,"Restlessness, Convulsions, Difficulty breathing, Incoordination, Rapid breathing, Recumbency, Reduced movement",Tetanus
Cow,"Sudden death, Rapid breathing, Weakness, Swollen lymph nodes, Depression",East Coast Fever
Cow,"Loss of appetite, Recumbency, Fever, Cracked hooves, Hoof lesions, Swollen joints, Reduced movement, Lameness",Foot Rot
Cow,"Facial swelling, Jaw swelling, Rapid breathing, Lameness",Blue Tongue
Goat,"Rapid breathing, Difficulty breathing, Eye discharge, Cough, Sneezing",Bovine Rhinotracheitis
Sheep,"Reduced fertility, Loss of appetite, Abortion, Infertility, Stillbirth",Campylobacter Abortion
Buffalo,"Recumbency, Loss of appetite, Depression, Reduced movement, Dullness, Lethargy, Weakness, Incoordination",Milk Fever
Goat,"Sudden fever, Reduced movement, Lameness, Recumbency, Chest pain, High fever, Swollen joints, Grunting sound",Black Quarter
Goat,"Anaemia, Diarrhoea, Dehydration",Amphistomiasis
Buffalo,"Cough, Depression, Dehydration, Diarrhoea",Peste des Petits Ruminants
Cow,"Lethargy, Anaemia, Swollen lymph nodes",Theileriosis
Goat,"Swollen joints, Sudden fever, Grunting sound, Chest pain",Black Quarter
Sheep,"Lameness, Depression, Jaw swelling, Facial swelling, Difficulty breathing, High fever, Rapid breathing, Nasal discharge",Blue Tongue
Buffalo,"Abortion, Reduced fertility, Stillbirth",Campylobacter Abortion
Goat,"Foamy saliva, Rapid breathing, High fever, Sudden fever, Nasal bleeding, Depression, Weakness, Sudden death",Anthrax
Sheep,"Anaemia, Dark urine, Weakness, Yellow urine, Pale mucous membranes",Babesiosis
Sheep,"Lethargy, Diarrhoea, Loss of appetite, Depression, Weakness, Dehydration",Calf Scour
Sheep,"Anaemia, Dehydration, Diarrhoea",Amphistomiasis
Sheep,"Sudden death, Nasal bleeding, Sudden fever, Weakness, Depression, Foamy saliva, High fever",Anthrax
Goat,"Cough, Eye discharge, Sneezing, Difficulty breathing, Fever, Depression",Bovine Rhinotracheitis
Sheep,"Reduced milk yield, Dehydration, Anaemia, Weakness, Weight loss",Fascioliasis
Goat,"Anaemia, Lethargy, Pale mucous membranes, High fever, Weakness, Depression, Yellow urine, Dark urine",Babesiosis
Sheep,"Reduced fertility, Infertility, Stillbirth, Weakness, Abortion",Brucellosis
Buffalo,"Cough, Dehydration, Diarrhoea, Loss of appetite",Peste des Petits Ruminants
Sheep,"Weight loss, Diarrhoea, Lethargy, Dehydration",Calf Scour
Buffalo,"Udder swelling, Painful udder, Abnormal milk",Mastitis
Goat,"Yellow urine, Dark urine, Pale mucous membranes",Babesiosis
Cow,"Convulsions, Incoordination, Neurological signs, Foamy saliva, Difficulty breathing, Paralysis",Rabies
Cow,"Anaemia, Dullness, Dehydration, Loss of appetite, Weight loss, Diarrhoea, Depression",Amphistomiasis
Sheep,"Lethargy, Diarrhoea, Weakness, Fever, Weight loss, Dehydration, Depression, Loss of appetite",Calf Scour
Buffalo,"Anaemia, Dark urine, Pale mucous membranes, Yellow urine",Babesiosis
Buffalo,"Depression, Swollen joints, Reduced movement, Sudden fever, Reduced milk yield, Lameness, Dullness, High fever",Bovine Ephemeral Fever
Sheep,"Incoordination, Reduced movement, Weakness, Recumbency, Loss of appetite",Milk Fever
Buffalo,"Weakness, Lethargy, High fever, Pale mucous membranes, Anaemia, Swollen lymph nodes, Weight loss, Depression",Theileriosis
Sheep,"Swollen lymph nodes, Skin lesions, Skin nodules",Sheep and Goat Pox
Cow,"Incoordination, Loss of appetite, Dullness, Reduced movement, Weakness, Lethargy, Depression, Recumbency",Milk Fever
Sheep,"Lameness, Blisters in mouth, Blisters on feet, Drooling, Excess salivation",Foot and Mouth Disease
Goat,"Weight loss, Weakness, Reduced milk yield, Diarrhoea",Johne’s Disease
Sheep,"Depression, Loss of appetite, Dullness, Weight loss, Anaemia, Diarrhoea, Dehydration, Weakness",Amphistomiasis
Cow,"Incoordination, Difficulty breathing, Reduced movement, Recumbency, Convulsions",Tetanus
Sheep,"High fever, Sudden death, Bloody diarrhoea, Loss of appetite, Depression, Dehydration",Salmonellosis
Cow,"Fever, Swollen joints, Hoof lesions, Cracked hooves, Reduced movement, Lameness",Foot Rot
Buffalo,"Depression, Loss of appetite, Weakness, Anaemia, Reduced milk yield, Dehydration, Weight loss",Fascioliasis
Sheep,"Sudden death, Facial swelling, High fever, Rapid breathing, Jaw swelling",Haemorrhagic Septicaemia
Buffalo,"Skin lesions, Lameness, Nasal discharge, Eye discharge, Reduced milk yield, Swollen lymph nodes, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Sheep,"Jaw swelling, Facial swelling, Depression, Sudden death, Rapid breathing",Haemorrhagic Septicaemia
Cow,"High fever, Facial swelling, Jaw swelling, Difficulty breathing, Rapid breathing, Depression",Haemorrhagic Septicaemia
Buffalo,"Convulsions, Reduced movement, Incoordination, Recumbency",Tetanus
Sheep,"Diarrhoea, Nasal discharge, Sudden death, Depression, Bloody diarrhoea, Dehydration, Loss of appetite, High fever",Rinderpest
Goat,"Paralysis, Neurological signs, Convulsions",Rabies
Goat,"Depression, Swollen joints, Dullness, Reduced movement, Reduced milk yield, Sudden fever, High fever, Lameness",Bovine Ephemeral Fever
Goat,"Facial swelling, Difficulty breathing, Nasal discharge, Lameness, High fever, Jaw swelling",Blue Tongue
Goat,"Yellow urine, Pale mucous membranes, Lethargy, Anaemia, Depression, Weight loss, Weakness, Fever",Anaplasmosis
Sheep,"Depression, Swollen lymph nodes, Loss of appetite, Skin lesions, Skin nodules, Nasal discharge",Sheep and Goat Pox
Cow,"Bloody diarrhoea, Dehydration, Sudden death",Rinderpest
Goat,"Anaemia, High fever, Lethargy, Swollen lymph nodes",Theileriosis
Cow,"Sudden death, Depression, Weakness, Bloody diarrhoea, High fever, Loss of appetite, Dehydration, Diarrhoea",Salmonellosis
Goat,"Sudden fever, Swollen joints, Chest pain, Grunting sound",Black Quarter
Cow,"Swollen lymph nodes, Nasal discharge, Reduced milk yield, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Cow,"Swollen joints, Recumbency, Reduced movement, Fever, Lameness, Loss of appetite, Hoof lesions, Cracked hooves",Foot Rot
Buffalo,"Swollen lymph nodes, Reduced milk yield, Lameness, Skin lesions, Skin nodules",Lumpy Skin Disease (Lumpy Virus)
Cow,"Diarrhoea, Loss of appetite, Fever, Weight loss, Weakness, Lethargy, Dehydration, Depression",Calf Scour
Sheep,"Weight loss, Reduced milk yield, Dullness, Weakness, Diarrhoea",Johne’s Disease
Cow,"Abnormal milk, Udder swelling, Painful udder",Mastitis
Cow,"Lameness, Jaw swelling, Facial swelling",Blue Tongue
Goat,"Loss of appetite, Diarrhoea, Anaemia, Dehydration",Amphistomiasis
Goat,"Dehydration, Depression, Diarrhoea, Cough",Peste des Petits Ruminants
Buffalo,"Dullness, Weight loss, Bloody diarrhoea",Coccidiosis
Cow,"Recumbency, Swollen joints, Chest pain, Reduced movement, Sudden fever, Lameness, Grunting sound, High fever",Black Quarter
Cow,"Scratching, Loss of appetite, Itching, Skin lesions, Weight loss, Hair loss, Dullness, Depression",Ringworm
Buffalo,"Dehydration, High fever, Diarrhoea, Bloody diarrhoea, Sudden death, Depression, Loss of appetite, Nasal discharge",Rinderpest
Cow,"Depression, Sudden death, Nasal bleeding, Sudden fever, Foamy saliva, Rapid breathing",Anthrax
Goat,"Reduced movement, Recumbency, Incoordination",Milk Fever
Buffalo,"Sudden death, Bloody diarrhoea, High fever",Salmonellosis
Cow,"Pale mucous membranes, Anaemia, High fever, Lethargy, Swollen lymph nodes, Depression",Theileriosis
Sheep,"Recumbency, Convulsions, Incoordination",Tetanus
Sheep,"Anaemia, Swollen lymph nodes, Lethargy",Theileriosis
Cow,"Udder swelling, Reduced milk yield, Abnormal milk, Painful udder, Fever, Loss of appetite, Depression, Weakness",Mastitis
Goat,"Cough, Diarrhoea, Dehydration",Peste des Petits Ruminants
Sheep,"Reduced fertility, Infertility, Stillbirth, Loss of appetite, Depression, Fever, Abortion",Campylobacter Abortion
Buffalo,"Lameness, Reduced movement, Recumbency, Cracked hooves, Loss of appetite, Fever, Swollen joints, Hoof lesions",Foot Rot
Goat,"Skin lesions, Reduced milk yield, Swollen lymph nodes, Skin nodules, High fever, Eye discharge, Lameness, Nasal discharge",Lumpy Skin Disease (Lumpy Virus)
Goat,"Fever, Stillbirth, Reduced fertility, Infertility, Abortion",Campylobacter Abortion
Cow,"High fever, Sudden fever, Swollen joints, Depression, Reduced movement, Reduced milk yield",Bovine Ephemeral Fever
Buffalo,"Skin nodules, Nasal discharge, Swollen lymph nodes, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Cow,"Weakness, Anaemia, Pale mucous membranes, Depression, Yellow urine, Dark urine, Lethargy",Babesiosis
Goat,"Anaemia, Pale mucous membranes, Yellow urine",Anaplasmosis
Cow,"Facial swelling, Nasal discharge, Jaw swelling, Lameness, Difficulty breathing",Blue Tongue
Goat,"Skin lesions, Scratching, Dullness, Hair loss, Loss of appetite, Depression, Itching",Ringworm
Cow,"Convulsions, Neurological signs, Paralysis, Sudden death, Foamy saliva, Restlessness, Incoordination",Rabies
Goat,"Itching, Hair loss, Skin lesions, Weight loss",Ringworm
Buffalo,"Stillbirth, Abortion, Reduced fertility, Weakness",Campylobacter Abortion
Buffalo,"Painful udder, Weakness, Udder swelling, Loss of appetite, Depression, Fever, Reduced milk yield, Abnormal milk",Mastitis
Cow,"Rapid breathing, Sneezing, Depression, Nasal discharge, Fever, Cough, Eye discharge, Difficulty breathing",Bovine Rhinotracheitis
Goat,"Weight loss, Fever, Yellow urine, Depression, Pale mucous membranes, Anaemia, Lethargy, Weakness",Anaplasmosis
Goat,"Diarrhoea, Dullness, Anaemia, Dehydration, Depression",Amphistomiasis
Cow,"Dark urine, Pale mucous membranes, Depression, Yellow urine, Weakness, Anaemia, Lethargy",Babesiosis
Sheep,"Weakness, Depression, Loss of appetite, Dehydration, Diarrhoea, Bloody diarrhoea, Weight loss, Dullness",Coccidiosis
Buffalo,"Dehydration, Cough, Loss of appetite, Diarrhoea",Peste des Petits Ruminants
Cow,"Foamy saliva, Sudden death, High fever, Nasal bleeding",Anthrax
Buffalo,"Jaw swelling, Rapid breathing, Facial swelling",Haemorrhagic Septicaemia
Buffalo,"Pale mucous membranes, Anaemia, Dark urine, Yellow urine",Babesiosis
Cow,"Hoof lesions, Lameness, Excess salivation, Reduced milk yield, Blisters in mouth, Fever, Blisters on feet",Foot and Mouth Disease
Buffalo,"Recumbency, Incoordination, Convulsions",Tetanus
Sheep,"Anaemia, Depression, Lethargy, Swollen lymph nodes",Theileriosis
Cow,"Paralysis, Convulsions, Neurological signs, Sudden death, Incoordination",Rabies
Buffalo,"Yellow urine, Dark urine, Lethargy, Anaemia, Weakness, Pale mucous membranes, High fever, Depression",Babesiosis
Goat,"Diarrhoea, Lethargy, Dehydration, Weakness, Depression, Fever",Calf Scour
Buffalo,"Diarrhoea, Cough, Difficulty breathing, Dehydration",Peste des Petits Ruminants
Goat,"Abdominal pain, Sudden death, Diarrhoea, Convulsions, Bloat, Depression, Dehydration",Enterotoxaemia
Buffalo,"Anaemia, Lethargy, Swollen lymph nodes",Theileriosis
Goat,"Lethargy, Diarrhoea, Dehydration, Loss of appetite",Calf Scour
Buffalo,"Chest pain, Sudden fever, Grunting sound, High fever, Swollen joints, Recumbency, Lameness",Black Quarter
Buffalo,"Nasal bleeding, Sudden death, Foamy saliva",Anthrax
Goat,"Diarrhoea, Cough, Difficulty breathing, High fever, Nasal discharge, Depression, Dehydration, Loss of appetite",Peste des Petits Ruminants
Cow,"Weight loss, Itching, Skin lesions, Dullness, Loss of appetite, Hair loss, Depression, Scratching",Ringworm
Goat,"Depression, Skin nodules, Eye discharge, Loss of appetite, Skin lesions, Swollen lymph nodes",Sheep and Goat Pox
Goat,"Lameness, Nasal discharge, Reduced milk yield, Eye discharge, Skin nodules, Swollen lymph nodes, High fever",Lumpy Skin Disease (Lumpy Virus)
Goat,"Rapid breathing, Restlessness, Recumbency, Incoordination, Neurological signs, Convulsions, Difficulty breathing",Tetanus
Buffalo,"Reduced movement, Convulsions, Recumbency, Rapid breathing, Difficulty breathing, Incoordination",Tetanus
Buffalo,"Abnormal milk, Udder swelling, Fever, Painful udder",Mastitis
Cow,"Sudden death, Bloat, Abdominal pain",Enterotoxaemia
Cow,"Weakness, Reduced milk yield, Depression, Weight loss, Anaemia, Pale mucous membranes, Dehydration, Loss of appetite",Fascioliasis
Cow,"Skin nodules, Reduced milk yield, Nasal discharge, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Goat,"Pale mucous membranes, Fever, Weakness, Lethargy, Anaemia, Depression, Weight loss, Yellow urine",Anaplasmosis
Sheep,"Yellow urine, Anaemia, Depression, Fever, Lethargy, Weakness, Weight loss, Pale mucous membranes",Anaplasmosis
Sheep,"Hair loss, Scratching, Depression, Itching, Skin lesions, Loss of appetite",Ringworm
Sheep,"Incoordination, Neurological signs, Foamy saliva, Restlessness, Sudden death, Paralysis, Convulsions",Rabies
Sheep,"Lethargy, Swollen lymph nodes, Anaemia",Theileriosis
Buffalo,"Difficulty breathing, Swollen lymph nodes, Sudden death, Depression, Rapid breathing, Nasal discharge, Weakness",East Coast Fever
Goat,"Udder swelling, Abnormal milk, Painful udder",Mastitis
Cow,"Bloat, Abdominal pain, Depression, Bloody diarrhoea, Convulsions, Dehydration, Sudden death, Diarrhoea",Enterotoxaemia
Goat,"Weight loss, Skin nodules, Scratching, Itching",Mange
Buffalo,"Loss of appetite, Reduced fertility, Infertility, Stillbirth, Abortion, Weakness",Campylobacter Abortion
Buffalo,"Diarrhoea, Dullness, Bloody diarrhoea, Weight loss",Coccidiosis
Sheep,"Pale mucous membranes, Weakness, Lethargy, Weight loss, Depression, High fever, Swollen lymph nodes, Anaemia",Theileriosis
Sheep,"Infertility, Abortion, Stillbirth",Brucellosis
Sheep,"Depression, Weight loss, Pale mucous membranes, Fever, Yellow urine, Anaemia",Anaplasmosis
Sheep,"Facial swelling, Lameness, Jaw swelling",Blue Tongue
Goat,"Bloody diarrhoea, Dehydration, Sudden death, High fever",Rinderpest
Buffalo,"Depression, Loss of appetite, Lethargy, Diarrhoea, Dehydration, Weight loss, Fever, Weakness",Calf Scour
Buffalo,"Recumbency, Reduced movement, Difficulty breathing, Neurological signs, Incoordination, Convulsions, Rapid breathing, Restlessness",Tetanus
Buffalo,"Bloody diarrhoea, Dullness, Depression, Loss of appetite, Dehydration, Weakness, Diarrhoea, Weight loss",Coccidiosis
Goat,"Abortion, Stillbirth, Reduced fertility",Campylobacter Abortion
Goat,"Skin nodules, Eye discharge, Swollen lymph nodes, Skin lesions",Sheep and Goat Pox
Cow,"Swollen lymph nodes, Skin nodules, Loss of appetite, Skin lesions, Depression",Sheep and Goat Pox
Cow,"Lethargy, Dehydration, Diarrhoea",Calf Scour
Sheep,"Swollen lymph nodes, Rapid breathing, Sudden death",East Coast Fever
Sheep,"Reduced movement, High fever, Recumbency, Swollen joints, Grunting sound, Lameness, Chest pain",Black Quarter
Cow,"Stillbirth, Abortion, Infertility",Brucellosis
Buffalo,"Weight loss, Diarrhoea, Dullness, Anaemia, Dehydration, Depression, Loss of appetite",Amphistomiasis
Cow,"Reduced movement, Incoordination, Recumbency",Milk Fever
Goat,"Blisters in mouth, Excess salivation, Blisters on feet, Lameness",Foot and Mouth Disease
Cow,"Rapid breathing, Jaw swelling, Facial swelling, High fever, Sudden death, Nasal discharge, Difficulty breathing",Haemorrhagic Septicaemia
Sheep,"Paralysis, Eye discharge, Incoordination",Listeriosis
Buffalo,"Depression, Dehydration, Diarrhoea, Loss of appetite, Weight loss, Reduced milk yield, Dullness, Weakness",Johne’s Disease
Buffalo,"Depression, Swollen joints, Reduced movement, High fever, Sudden fever, Lameness, Dullness",Bovine Ephemeral Fever
Goat,"Recumbency, Loss of appetite, Hoof lesions, Lameness, Cracked hooves, Swollen joints, Reduced movement",Foot Rot
Cow,"Skin nodules, Eye discharge, Swollen lymph nodes, Skin lesions",Sheep and Goat Pox
Cow,"Hair loss, Itching, Scratching, Skin lesions",Ringworm
Buffalo,"Drooling, Excess salivation, Blisters in mouth, Blisters on feet",Foot and Mouth Disease
Buffalo,"Nasal bleeding, Sudden death, Depression, Rapid breathing, Foamy saliva",Anthrax
Buffalo,"Fever, Eye discharge, Paralysis, Incoordination",Listeriosis
Buffalo,"Nasal bleeding, Depression, Sudden death, Foamy saliva, Sudden fever",Anthrax
Cow,"Swollen joints, Lameness, Grunting sound, Chest pain, Reduced movement, High fever",Black Quarter
Buffalo,"Depression, Diarrhoea, Dehydration, Anaemia, Weight loss",Amphistomiasis
Goat,"Paralysis, Eye discharge, Incoordination, Loss of appetite",Listeriosis
Buffalo,"Reduced milk yield, Pale mucous membranes, Weight loss, Anaemia, Depression",Fascioliasis
Cow,"Depression, Diarrhoea, Anaemia, Loss of appetite, Weight loss, Dehydration, Dullness",Amphistomiasis
Cow,"Udder swelling, Painful udder, Weakness, Fever, Abnormal milk, Reduced milk yield, Loss of appetite, Depression",Mastitis
Sheep,"Chest pain, Grunting sound, High fever, Swollen joints, Recumbency, Sudden fever, Lameness",Black Quarter
Sheep,"Weakness, Foamy saliva, High fever, Rapid breathing, Sudden death, Nasal bleeding, Sudden fever, Depression",Anthrax
Buffalo,"High fever, Swollen lymph nodes, Lethargy, Weight loss, Depression, Anaemia",Theileriosis
Goat,"High fever, Rapid breathing, Facial swelling, Depression, Sudden death, Nasal discharge, Jaw swelling, Difficulty breathing",Haemorrhagic Septicaemia
Cow,"Bloody diarrhoea, Dehydration, Sudden death",Rinderpest
Sheep,"Weakness, Weight loss, Reduced milk yield, Dehydration, Depression, Loss of appetite, Diarrhoea",Johne’s Disease
Cow,"Blisters on feet, Blisters in mouth, Lameness, Reduced milk yield, Excess salivation, Drooling, Hoof lesions",Foot and Mouth Disease
Sheep,"Convulsions, Restlessness, Rapid breathing, Difficulty breathing, Incoordination, Recumbency, Neurological signs, Reduced movement",Tetanus
Goat,"High fever, Grunting sound, Swollen joints, Chest pain, Recumbency",Black Quarter
Cow,"Grunting sound, Reduced movement, Chest pain, Swollen joints",Black Quarter
Sheep,"Cracked hooves, Reduced movement, Swollen joints, Fever, Lameness, Loss of appetite, Hoof lesions",Foot Rot
Buffalo,"Anaemia, Fever, Pale mucous membranes, Weakness, Yellow urine, Weight loss, Depression",Anaplasmosis
Goat,"Itching, Weight loss, Hair loss, Skin lesions",Ringworm
Buffalo,"Fever, Skin nodules, Eye discharge, Skin lesions, Depression, Loss of appetite, Swollen lymph nodes, Nasal discharge",Sheep and Goat Pox
Cow,"Loss of appetite, Fever, Udder swelling, Painful udder, Depression, Abnormal milk, Weakness",Mastitis
Goat,"Cracked hooves, Hoof lesions, Swollen joints, Lameness",Foot Rot
Buffalo,"Stillbirth, Loss of appetite, Reduced fertility, Depression, Infertility, Abortion",Campylobacter Abortion
Sheep,"Depression, Fever, Sneezing, Rapid breathing, Nasal discharge, Cough, Eye discharge",Bovine Rhinotracheitis
Sheep,"Cracked hooves, Loss of appetite, Hoof lesions, Fever, Lameness, Recumbency",Foot Rot
Goat,"Nasal bleeding, Weakness, High fever, Depression, Rapid breathing, Sudden death, Foamy saliva, Sudden fever",Anthrax
Sheep,"Loss of appetite, Swollen lymph nodes, Skin nodules, Skin lesions, Eye discharge",Sheep and Goat Pox
Goat,"High fever, Nasal discharge, Dehydration, Cough, Loss of appetite, Diarrhoea",Peste des Petits Ruminants
Buffalo,"Fever, Weakness, Yellow urine, Weight loss, Pale mucous membranes, Anaemia",Anaplasmosis
Buffalo,"Incoordination, Recumbency, Difficulty breathing, Convulsions",Tetanus
Cow,"Lethargy, Depression, Weakness, High fever, Swollen lymph nodes, Anaemia",Theileriosis
Goat,"Dullness, Scratching, Hair loss, Itching, Skin nodules",Mange
Cow,"Diarrhoea, Reduced milk yield, Weight loss",Johne’s Disease
Buffalo,"Dehydration, Weight loss, Weakness, Diarrhoea, Loss of appetite, Depression, Bloody diarrhoea, Dullness",Coccidiosis
Sheep,"Eye discharge, Loss of appetite, Fever, Paralysis, Recumbency, Neurological signs, Incoordination, Depression",Listeriosis
Goat,"Sudden fever, Swollen joints, Reduced movement, Reduced milk yield, High fever",Bovine Ephemeral Fever
Goat,"Difficulty breathing, Sneezing, Depression, Eye discharge, Cough, Nasal discharge",Bovine Rhinotracheitis
Buffalo,"Loss of appetite, Itching, Skin lesions, Hair loss, Weight loss, Depression, Scratching, Dullness",Ringworm
Cow,"Hoof lesions, Lameness, Cracked hooves",Foot Rot
Goat,"Swollen joints, Sudden fever, Lameness, Dullness, Reduced movement",Bovine Ephemeral Fever
Sheep,"Incoordination, Recumbency, Reduced movement, Lethargy, Depression",Milk Fever
Sheep,"Swollen joints, Chest pain, Grunting sound, High fever",Black Quarter
Goat,"Reduced milk yield, Skin nodules, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Cow,"Swollen lymph nodes, Skin lesions, Skin nodules",Sheep and Goat Pox
Sheep,"Skin nodules, Swollen lymph nodes, Reduced milk yield",Lumpy Skin Disease (Lumpy Virus)
Goat,"Loss of appetite, Bloody diarrhoea, Sudden death, Nasal discharge, Dehydration, Depression",Rinderpest
Cow,"Paralysis, Depression, Fever, Incoordination, Eye discharge",Listeriosis
Cow,"High fever, Diarrhoea, Loss of appetite, Difficulty breathing, Dehydration, Cough, Depression",Peste des Petits Ruminants
Goat,"Bloat, Diarrhoea, Depression, Abdominal pain, Convulsions, Bloody diarrhoea, Sudden death, Dehydration",Enterotoxaemia
Goat,"Sudden fever, Swollen joints, Dullness, Reduced movement",Bovine Ephemeral Fever
Buffalo,"Weight loss, Dehydration, Dullness, Weakness, Loss of appetite, Bloody diarrhoea, Diarrhoea",Coccidiosis
Cow,"Painful udder, Reduced milk yield, Abnormal milk, Udder swelling, Depression, Fever, Loss of appetite",Mastitis
Sheep,"Skin lesions, Hair loss, Itching, Loss of appetite, Depression, Weight loss",Ringworm
Cow,"Stillbirth, Reduced fertility, Abortion, Weakness, Fever, Loss of appetite",Campylobacter Abortion
Cow,"High fever, Skin nodules, Eye discharge, Lameness, Nasal discharge, Skin lesions, Reduced milk yield, Swollen lymph nodes",Lumpy Skin Disease (Lumpy Virus)
Buffalo,"High fever, Nasal discharge, Difficulty breathing, Jaw swelling, Rapid breathing, Facial swelling",Haemorrhagic Septicaemia
Goat,"Recumbency, Convulsions, Restlessness, Reduced movement, Incoordination",Tetanus
Goat,"Fever, Swollen joints, Cracked hooves, Loss of appetite, Hoof lesions, Recumbency, Lameness, Reduced movement",Foot Rot
Buffalo,"Swollen lymph nodes, Skin lesions, Skin nodules, Fever",Sheep and Goat Pox
Buffalo,"Convulsions, Paralysis, Neurological signs",Rabies
Sheep,"Diarrhoea, Dehydration, Cough, Nasal discharge, Difficulty breathing",Peste des Petits Ruminants
Buffalo,"Dehydration, Bloody diarrhoea, Loss of appetite, Sudden death, High fever",Rinderpest
Buffalo,"Foamy saliva, Nasal bleeding, Rapid breathing, Sudden death, Weakness, Sudden fever, Depression, High fever",Anthrax
Goat,"Weight loss, Lethargy, Yellow urine, Anaemia, Weakness, Pale mucous membranes",Anaplasmosis
Goat,"Diarrhoea, Dullness, Loss of appetite, Weight loss, Bloody diarrhoea",Coccidiosis
Goat,"Swollen lymph nodes, Pale mucous membranes, Weakness, Anaemia, Weight loss, Lethargy, High fever",Theileriosis
Sheep,"Sudden death, Restlessness, Incoordination, Neurological signs, Foamy saliva, Difficulty breathing, Paralysis, Convulsions",Rabies
Goat,"Dullness, Weight loss, Bloody diarrhoea, Depression",Coccidiosis
Goat,"Bloody diarrhoea, High fever, Sudden death, Weakness",Salmonellosis
Buffalo,"Abortion, Reduced fertility, Fever, Loss of appetite, Depression, Stillbirth, Weakness, Infertility",Campylobacter Abortion
Sheep,"Difficulty breathing, High fever, Dehydration, Cough, Diarrhoea",Peste des Petits Ruminants
Sheep,"Fever, Sneezing, Nasal discharge, Cough, Depression, Eye discharge, Difficulty breathing, Rapid breathing",Bovine Rhinotracheitis
Cow,"Paralysis, Restlessness, Difficulty breathing, Neurological signs, Convulsions",Rabies
Goat,"Cough, Difficulty breathing, Sneezing, Eye discharge",Bovine Rhinotracheitis
Sheep,"Nasal bleeding, Foamy saliva, Sudden death",Anthrax
Cow,"Dehydration, Diarrhoea, Cough",Peste des Petits Ruminants
Sheep,"Grunting sound, Swollen joints, Chest pain",Black Quarter
Sheep,"Sudden death, Bloody diarrhoea, Depression, Dehydration",Rinderpest
Goat,"Blisters on feet, Blisters in mouth, Fever, Reduced milk yield, Excess salivation, Drooling",Foot and Mouth Disease
